                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9773,                 1.4131,                 1.5398,                 0.6714,                0.73507,                 0.7772,                0.36663,                 1.8203,                 1.2451,                 1.4883,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.9824,                 1.4066,                 1.5472,                0.70121,                0.67988,                0.77088,                0.35948,                 1.8202,                 1.3008,                 1.4775,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.9549,                 1.4021,                 1.5316,                 0.6866,                0.65786,                0.72126,                0.28575,                 2.0798,                 1.2978,                 1.6343,               0.009307,               0.009307,               0.009307
                     38,                 1.9735,                 1.4179,                 1.5584,                0.71828,                0.69897,                 0.7479,                0.34369,                 1.8372,                 1.2397,                 1.5028,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.9544,                 1.3887,                  1.526,                 0.7097,                0.66373,                0.75971,                0.36175,                 1.8141,                 1.2191,                  1.471,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.9658,                 1.3984,                 1.5542,                0.70514,                0.61805,                0.71896,                0.32486,                 1.8896,                 1.2341,                 1.5206,              0.0092476,              0.0092476,              0.0092476
                     41,                  1.956,                 1.3876,                 1.5367,                0.65405,                0.66079,                0.70443,                0.30364,                 1.9151,                 1.3847,                 1.5458,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.9659,                 1.3963,                 1.5434,                0.69413,                 0.6094,                0.69064,                0.27054,                 2.0297,                 1.3395,                 1.6174,               0.009208,               0.009208,               0.009208
                     43,                 1.9602,                  1.395,                   1.54,                0.66233,                0.65051,                0.69582,                0.32654,                 1.8552,                 1.2372,                 1.5127,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.9658,                 1.4052,                  1.538,                0.63008,                 0.6696,                0.70269,                0.30103,                 1.8532,                 1.4942,                 1.5256,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.9615,                 1.3925,                 1.5393,                0.66034,                0.65089,                0.70122,                0.27312,                  2.041,                 1.3231,                 1.6474,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.9708,                 1.3894,                 1.5477,                0.72862,                0.66373,                0.73065,                0.34404,                 1.8611,                 1.2239,                  1.525,              0.0091288,              0.0091288,              0.0091288
                     47,                  1.953,                 1.3783,                 1.5323,                0.72065,                0.69702,                0.76557,                0.36449,                 1.8169,                 1.1747,                 1.4716,               0.009109,               0.009109,               0.009109
                     48,                 1.9573,                 1.3816,                 1.5356,                0.67143,                0.71119,                0.77086,                 0.3619,                 1.8138,                 1.1638,                  1.469,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.9574,                 1.3808,                  1.532,                0.68648,                0.70925,                0.75486,                 0.3466,                  1.854,                 1.2116,                 1.5226,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.9431,                 1.3804,                 1.5396,                0.73157,                0.67634,                0.75437,                0.35641,                 1.8179,                 1.2046,                 1.4926,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.9318,                  1.364,                 1.5359,                0.70044,                0.71074,                0.76604,                0.36511,                 1.7753,                 1.2431,                 1.4509,              0.0090298,              0.0090298,              0.0090298
                     52,                 1.9601,                 1.3858,                 1.5463,                0.72893,                0.68576,                0.75965,                 0.3582,                 1.8157,                 1.1836,                 1.5001,                0.00901,                0.00901,                0.00901
                     53,                 1.9686,                 1.3825,                 1.5474,                0.66026,                0.71512,                0.75581,                0.33468,                 1.9379,                  1.265,                 1.5597,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.9288,                 1.3477,                  1.521,                0.69381,                0.67254,                 0.7254,                0.31628,                 1.9114,                 1.2343,                  1.536,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.9368,                  1.372,                 1.5348,                0.72854,                0.71366,                0.76799,                0.36549,                 1.8524,                 1.1503,                 1.4944,              0.0089506,              0.0089506,              0.0089506
